[2024-03-31T08:57:39.943Z] [INFO] - Vote granted for Node 1 in term 1.
[2024-03-31T08:57:39.981Z] [INFO] - Node 2 accepted AppendEntries RPC from 1.
[2024-03-31T09:01:53.858Z] [INFO] - Node 2 election timer timed out, Starting election.
[2024-03-31T09:01:53.880Z] [INFO] - Node 2 became the leader for term 2.
[2024-03-31T09:01:54.934Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:01:55.936Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:01:56.949Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:01:57.958Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:01:58.971Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:01:59.983Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:00.984Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:01.990Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:03.003Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:04.018Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:05.017Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:06.032Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:07.044Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:08.054Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:09.069Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:10.080Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:11.093Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:12.096Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:13.097Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:14.111Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:15.124Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:16.135Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:17.135Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:18.137Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:19.150Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:20.165Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:21.175Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:22.182Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:23.195Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:24.210Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:25.213Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:25.364Z] [INFO] - Node 2 (leader) received an SET x 2 request.
[2024-03-31T09:02:26.377Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:27.390Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:28.399Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:29.413Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:30.428Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:31.442Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:32.443Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:33.455Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:34.466Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:35.480Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:36.492Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:02:37.494Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
